"url	page	""page without timeline""	date"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130313172907id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130313172907/http://www.ut.ee:80/et	20130313172907"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130316035253id_/http://www.ut.ee/et	http://wayback.archive.org/web/20130316035253/http://www.ut.ee/et	20130316035253"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130321084655id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130321084655/http://www.ut.ee:80/et	20130321084655"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130322232753id_/http://www.ut.ee/et	http://wayback.archive.org/web/20130322232753/http://www.ut.ee/et	20130322232753"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130323203259id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130323203259/http://www.ut.ee:80/et	20130323203259"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130327175238id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130327175238/http://www.ut.ee:80/et	20130327175238"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130330002930id_/http://www.ut.ee/et	http://wayback.archive.org/web/20130330002930/http://www.ut.ee/et	20130330002930"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130331084444id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130331084444/http://www.ut.ee:80/et	20130331084444"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130405042829id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130405042829/http://www.ut.ee:80/et	20130405042829"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130406040138id_/http://www.ut.ee/et	http://wayback.archive.org/web/20130406040138/http://www.ut.ee/et	20130406040138"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130411003918id_/http://www.ut.ee/et	http://wayback.archive.org/web/20130411003918/http://www.ut.ee/et	20130411003918"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130411084634id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130411084634/http://www.ut.ee:80/et	20130411084634"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130425104539id_/http://www.ut.ee/et	http://wayback.archive.org/web/20130425104539/http://www.ut.ee/et	20130425104539"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130502152747id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130502152747/http://www.ut.ee:80/et	20130502152747"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130504083029id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130504083029/http://www.ut.ee:80/et	20130504083029"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130512010500id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130512010500/http://www.ut.ee:80/et	20130512010500"
"https://www.ut.ee/et	http://wayback.archive.org/web/20130520152722id_/http://www.ut.ee:80/et	http://wayback.archive.org/web/20130520152722/http://www.ut.ee:80/et	20130520152722"
